Key, Avg. Strength
(155, 281, 0), 2.0
(112, 188, 0), 3.0
(197, 211, 0), 2.0
(51, 428, 0), 1.0
(282, 48, 0), 1.0
(99, 314, 0), 4.0
(401, 101, 0), 3.0
(258, 369, 0), 3.5
(49, 270, 0), 4.0
(328, 255, 0), 1.0
(439, 182, 0), 1.0
(104, 392, 0), 1.0
(52, 441, 0), 1.0
(442, 116, 0), 2.0
(109, 36, 0), 2.0
(325, 460, 0), 4.0
(6, 319, 0), 3.0
(484, 119, 0), 1.0
(97, 19, 0), 1.0
(374, 434, 0), 1.0
(378, 359, 0), 1.0
(119, 486, 0), 3.0
(43, 207, 0), 1.0
(146, 417, 0), 1.0
(277, 394, 0), 1.0
(241, 279, 0), 1.0
(150, 462, 0), 2.0
(284, 159, 0), 3.0
(17, 413, 0), 1.0
(233, 93, 0), 1.0
(369, 327, 0), 1.0
(427, 244, 0), 3.0
(33, 463, 0), 3.0
(30, 372, 0), 4.0
(346, 260, 0), 3.0
(21, 126, 0), 1.0
(38, 145, 0), 1.0
(371, 225, 0), 1.0
(45, 241, 0), 2.0
(165, 330, 0), 2.0
(235, 205, 0), 1.0
(411, 290, 0), 2.0
(295, 344, 0), 1.0
(194, 485, 0), 2.0
(424, 4, 0), 3.0
(148, 101, 0), 3.0
(313, 298, 0), 1.0
(450, 261, 0), 1.0
(13, 142, 0), 2.0
(104, 201, 0), 1.0
(355, 273, 0), 1.0
(137, 387, 0), 1.0
(10, 293, 0), 2.0
(258, 350, 0), 1.0
(445, 385, 0), 1.0
(210, 196, 0), 2.0
(28, 386, 0), 4.0
(18, 285, 0), 2.5
(200, 5, 0), 1.0
(432, 226, 0), 4.0
(253, 368, 0), 1.0
(117, 268, 0), 2.0
(205, 156, 0), 2.0
(35, 220, 0), 2.0
(48, 347, 0), 1.0
(506, 438, 0), 1.0
(61, 204, 0), 3.0
(382, 195, 0), 1.0
(205, 88, 0), 1.0
(147, 6, 0), 2.0
(342, 193, 0), 4.0
(98, 195, 0), 2.0
(472, 458, 0), 1.0
(87, 34, 0), 1.0
(219, 292, 0), 4.0
(101, 274, 0), 3.0
(371, 364, 0), 3.0
(310, 283, 0), 2.5
(90, 449, 0), 4.0
(363, 457, 0), 4.0
(72, 307, 0), 4.0
(285, 86, 0), 3.0
(344, 122, 0), 1.0
(261, 262, 0), 2.0
(254, 60, 0), 4.0
(54, 129, 0), 1.0
(354, 454, 0), 1.0
(201, 446, 0), 4.0
(107, 190, 0), 2.5
(246, 119, 0), 1.0
